query_modality	cand_modality	dataset_name	dataset_id	prompt_1	prompt_2	prompt_3	prompt_4
text	image	MSCOCO_t2i	0				
image	text	MSCOCO_i2t	1				
text	image	VisualNews_t2i	2				
image	text	VisualNews_i2t	3				
image,text	image	MSCOCO	4				
image	image	NIGHTS	5				
image,text	image	CIRR	6				
image,text	image	FashionIQ	7				
text	image,text	EDIS	8				
text	text	WebQA	9				
text	image,text	WebQA	9				
image,text	text	A-OKVQA	10				
image,text	text	OK-VQA	11				
image,text	text	DocVQA	12				
image,text	text	ChartQA	13				
image,text	text	InfographicsVQA	14				
image,text	text	Visual7W	15				
image,text	text	VisDial	16				
image	text	ImageNet-1K	20				
image	text	SUN397	21				
image	text	VOC2007	22				
image,text	text	N24News	23				
image,text	text	HatefulMemes	24				
image	text	ImageNet-A	25				
image	text	ImageNet-R	26				
image	text	ObjectNet	27				
image	text	Country211	28				
image	text	Place365	29				
text	image	RefCOCO	30				
text	image	RefCOCO-Matching	31				
image,text	image	Visual7W-Pointing	32				
image,text	text	ScienceQA	33				
image,text	text	VizWiz	34				
image,text	text	TextVQA	35				
image,text	text	GQA	36				
image,text	image,text	OVEN	37				
text	image,text	Wiki-SS-NQ	38
